Season,Date,ConstructorName,Points
1996,1996-07-01,McLaren,8.0
1996,1996-08-01,McLaren,7.0
1996,1996-09-01,McLaren,4.0
1996,1996-10-01,McLaren,4.0
1997,1997-03-01,McLaren,17.0
1997,1997-04-01,McLaren,3.0
1997,1997-05-01,McLaren,1.0
1997,1997-06-01,McLaren,0.0
1997,1997-07-01,McLaren,7.0
1997,1997-08-01,McLaren,0.0
1997,1997-09-01,McLaren,16.0
1997,1997-10-01,McLaren,19.0
1998,1998-03-01,McLaren,32.0
1998,1998-04-01,McLaren,17.0
1998,1998-05-01,McLaren,26.0
1998,1998-06-01,McLaren,5.0
1998,1998-07-01,McLaren,22.0
1998,1998-08-01,McLaren,23.0
1998,1998-09-01,McLaren,17.0
1998,1998-11-01,McLaren,14.0
1999,1999-03-01,McLaren,0.0
1999,1999-04-01,McLaren,10.0
1999,1999-05-01,McLaren,26.0
1999,1999-06-01,McLaren,16.0
1999,1999-07-01,McLaren,20.0
1999,1999-08-01,McLaren,34.0
1999,1999-09-01,McLaren,4.0
1999,1999-10-01,McLaren,14.0
2000,2000-03-01,McLaren,0.0
2000,2000-04-01,McLaren,26.0
2000,2000-05-01,McLaren,26.0
2000,2000-06-01,McLaren,14.0
2000,2000-07-01,McLaren,42.0
2000,2000-08-01,McLaren,27.0
2000,2000-09-01,McLaren,8.0
2000,2000-10-01,McLaren,19.0
2001,2001-03-01,McLaren,11.0
2001,2001-04-01,McLaren,21.0
2001,2001-05-01,McLaren,12.0
2001,2001-06-01,McLaren,9.0
2001,2001-07-01,McLaren,13.0
2001,2001-08-01,McLaren,6.0
2001,2001-09-01,McLaren,23.0
2001,2001-10-01,McLaren,7.0
2002,2002-03-01,McLaren,8.0
2002,2002-04-01,McLaren,5.0
2002,2002-05-01,McLaren,11.0
2002,2002-06-01,McLaren,13.0
2002,2002-07-01,McLaren,12.0
2002,2002-08-01,McLaren,5.0
2002,2002-09-01,McLaren,7.0
2002,2002-10-01,McLaren,4.0
2003,2003-03-01,McLaren,26.0
2003,2003-04-01,McLaren,25.0
2003,2003-05-01,McLaren,12.0
2003,2003-06-01,McLaren,13.0
2003,2003-07-01,McLaren,19.0
2003,2003-08-01,McLaren,20.0
2003,2003-09-01,McLaren,13.0
2003,2003-10-01,McLaren,14.0
2004,2004-03-01,McLaren,4.0
2004,2004-04-01,McLaren,1.0
2004,2004-05-01,McLaren,0.0
2004,2004-06-01,McLaren,12.0
2004,2004-07-01,McLaren,20.0
2004,2004-08-01,McLaren,12.0
2004,2004-09-01,McLaren,9.0
2004,2004-10-01,McLaren,11.0
2005,2005-03-01,McLaren,9.0
2005,2005-04-01,McLaren,16.0
2005,2005-05-01,McLaren,28.0
2005,2005-06-01,McLaren,10.0
2005,2005-07-01,McLaren,42.0
2005,2005-08-01,McLaren,16.0
2005,2005-09-01,McLaren,43.0
2005,2005-10-01,McLaren,18.0
2006,2006-03-01,McLaren,15.0
2006,2006-04-01,McLaren,18.0
2006,2006-05-01,McLaren,17.0
2006,2006-06-01,McLaren,15.0
2006,2006-07-01,McLaren,12.0
2006,2006-08-01,McLaren,12.0
2006,2006-09-01,McLaren,8.0
2006,2006-10-01,McLaren,13.0
2007,2007-03-01,McLaren,14.0
2007,2007-04-01,McLaren,30.0
2007,2007-05-01,McLaren,32.0
2007,2007-06-01,McLaren,30.0
2007,2007-07-01,McLaren,32.0
2007,2007-08-01,McLaren,25.0
2007,2007-09-01,McLaren,39.0
2007,2007-10-01,McLaren,16.0
2008,2008-03-01,McLaren,24.0
2008,2008-04-01,McLaren,10.0
2008,2008-05-01,McLaren,19.0
2008,2008-06-01,McLaren,5.0
2008,2008-07-01,McLaren,28.0
2008,2008-08-01,McLaren,27.0
2008,2008-09-01,McLaren,22.0
2008,2008-10-01,McLaren,10.0
2008,2008-11-01,McLaren,6.0
2009,2009-03-01,McLaren,0.0
2009,2009-04-01,McLaren,13.0
2009,2009-05-01,McLaren,0.0
2009,2009-06-01,McLaren,0.0
2009,2009-07-01,McLaren,15.0
2009,2009-08-01,McLaren,16.0
2009,2009-09-01,McLaren,15.0
2009,2009-10-01,McLaren,12.0
2009,2009-11-01,McLaren,0.0
2010,2010-03-01,McLaren,54.0
2010,2010-04-01,McLaren,55.0
2010,2010-05-01,McLaren,63.0
